,timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi,session_index,file_index,preprocessed
0,30/07/19,mahasiswa,"Assalamualaikum Wr.Wb, permisi Bu [DOSEN], mohon maaf jika mengganggu. perkenalkan saya [MHS], mahasiswi Teknik Informatika 2016 FILKOM yang rencananya pada semester ganjil ini mengambil mata kuliah induksi riset, kira-kira ibu membuka kelas induksi riset tidak ya? kalo sekiranya ibu buka kelas, rencananya saya mau ikut kelas ibu. terimakasih ibu. Wassalamualaikum Wr.Wb",1,-1,0,13,"['assalamualaikum', 'wr', 'wb', 'permisi', 'dosen', 'mohon', 'maaf', 'ganggu', 'kenal', 'mahasiswa', 'mahasiswi', 'teknik', 'informatika', '2016', 'filkom', 'rencana', 'semester', 'ganjil', 'ambil', 'mata', 'kuliah', 'induksi', 'riset', 'buka', 'kelas', 'induksi', 'riset', 'iya', 'sekira', 'buka', 'kelas', 'rencana', 'kelas', 'terima kasih', 'wassalamualaikum', 'wr', 'wb']"
1,31/07/19,dosen,Waalaikumsalam wr wb,1,1,1,13,"['waalaikumsalam', 'wr', 'wb']"
2,31/07/19,dosen,"Saya belum tentu membuka kelas induksi riset, jika kuota tidak memenuhi. Untuk lebih jelasnya, lebih baik bertemu secara tatap muka, terkait dengan topik yang diusulkan apakah sesuai atau tidak.",1,1,1,13,"['buka', 'kelas', 'induksi', 'riset', 'kuota', 'penuh', 'temu', 'tatap', 'muka', 'kait', 'topik', 'usul', 'sesuai']"
3,31/07/19,mahasiswa,"baik bu, apabila ibu berkenan kira-kira kapan dan dimana ya saya bisa bertemu ibu untuk mengkonsultasikan topik saya? terima kasih.",1,1,1,13,"['kenan', 'iya', 'temu', 'konsultasi', 'topik', 'terima', 'kasih']"
4,31/07/19,dosen,Hari ini saya ada rapat sampai sore. Kemungkinan bisa besok jam 11 ya sementara,1,1,1,13,"['rapat', 'sore', 'besok', 'jam', '11', 'iya']"
5,31/07/19,mahasiswa,"baik bu, terima kasih🙏",1,1,1,13,"['terima', 'kasih']"
6,01/08/19,dosen,https://www.researchgate.net/publication/326571864_Analisis_Sentimen_Pada_Review_Konsumen_Menggunakan_Metode_Naive_Bayes_Dengan_Seleksi_Fitur_Chi_Square_Untuk_Rekomendasi_Lokasi_Makanan_Tradisional,1,-1,2,13,['url']
7,08/10/19,dosen,https://bib.irb.hr/datoteka/993359.IJDTE_03_01.pdf,1,-1,3,13,['url']
8,08/10/19,dosen,https://www.cscjournals.org/manuscript/Journals/IJDE/Volume2/Issue4/IJDE-63.pdf,1,-1,3,13,['url']
9,08/10/19,dosen,http://www.statstutor.ac.uk/resources/uploaded/coventrycorrelation.pdf,1,-1,3,13,['url']
10,08/10/19,dosen,https://www.researchgate.net/publication/267869238_Towards_Reliable_Clustering_of_English_Text_Documents_Using_Correlation_Coefficient,1,-1,3,13,['url']
11,08/10/19,dosen,https://medium.com/@dipti.rohan.pawar/correlation-statistical-analysis-9471411f0431,1,-1,3,13,['url']
12,08/10/19,dosen,https://medium.com/@SilentFlame/pearson-correlation-a-mathematical-understanding-c9aa686113cb,1,-1,3,13,['url']
13,08/10/19,dosen,https://medium.com/@sebastiannorena/finding-correlation-between-many-variables-multidimensional-dataset-with-python-5deb3f39ffb3,1,-1,3,13,['url']
14,08/10/19,dosen,https://towardsdatascience.com/running-pearson-correlation-using-magicstat-6aa8dd4c39,1,-1,3,13,['url']
15,08/10/19,dosen,https://www.sciencedirect.com/topics/computer-science/pearson-correlation,1,-1,3,13,['url']
16,08/10/19,dosen,http://www.statstutor.ac.uk/resources/uploaded/pearsons.pdf,1,-1,3,13,['url']
17,15/10/19,mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin datang terlambat untuk bimbingan skripsi dikarenakan bersamaan dengan bimbingan pkl saya Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,-1,4,13,"['assalamualaikum', 'wr', 'wb', 'dosen', 'maaf', 'izin', 'lambat', 'bimbing', 'skripsi', 'bimbing', 'pkl', 'terima kasih', 'maaf', 'ganggu']"
18,28/10/19,mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin tidak datang bimbingan karena saya sedang tidak enak badan Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,1,5,13,"['assalamualaikum', 'wr', 'wb', 'dosen', 'maaf', 'izin', 'bimbing', 'enak', 'badan', 'terima kasih', 'maaf', 'ganggu']"
19,28/10/19,dosen,Waalaikumsalam wr wb,1,1,5,13,"['waalaikumsalam', 'wr', 'wb']"
20,28/10/19,dosen,Semoga lekas sehat kembali ya mbak ,1,1,5,13,"['moga', 'lekas', 'sehat', 'iya', 'mbak']"
21,28/10/19,dosen,Terima kasih,1,1,5,13,"['terima', 'kasih']"
22,28/10/19,mahasiswa,"Baik bu, terima kasih🙏",1,1,5,13,"['terima', 'kasih']"
